correlation,froi1,froi2,same_cyto,same_category,perm
0.04218513122439628,mOTS,PPA,0,0,25
0.23019894529622897,mOTS,pFus,0,0,25
0.16541625616681344,mOTS,pOTS,0,1,25
0.10372139530328853,OTS,PPA,0,0,25
0.14094222130741485,OTS,pFus,0,0,25
0.12411162046931203,OTS,pOTS,0,0,25
0.2684314299871795,PPA,pFus,0,0,25
0.25353724256587845,PPA,pOTS,0,0,25
0.850747952364994,pFus,pOTS,1,0,25
0.654641046344962,mFus,mOTS,1,0,26
0.8919369088655518,mFus,OTS,1,0,26
0.14270309616180762,mFus,PPA,0,0,26
0.5313484510659752,mFus,pFus,0,1,26
0.2945904731907858,mFus,pOTS,0,0,26
0.8749200139261337,mOTS,OTS,1,0,26
0.047323962365634964,mOTS,PPA,0,0,26
0.37690977541247733,mOTS,pFus,0,0,26
0.26221753859921254,mOTS,pOTS,0,1,26
0.10912979011806935,OTS,PPA,0,0,26
0.4393180016246736,OTS,pFus,0,0,26
0.2637623356142917,OTS,pOTS,0,0,26
0.25228836261349913,PPA,pFus,0,0,26
0.2979151085418145,PPA,pOTS,0,0,26
0.8167456767252135,pFus,pOTS,1,0,26
0.6501844558498311,mFus,mOTS,1,0,27
0.888361779257592,mFus,OTS,1,0,27
0.16635501715199033,mFus,PPA,0,0,27
0.5007445071288625,mFus,pFus,0,1,27
0.38704742792195074,mFus,pOTS,0,0,27
0.8208265540674636,mOTS,OTS,1,0,27
0.046156320012474966,mOTS,PPA,0,0,27
0.3205261984601447,mOTS,pFus,0,0,27
0.22084112306420192,mOTS,pOTS,0,1,27
0.08479096546979958,OTS,PPA,0,0,27
0.316437738896628,OTS,pFus,0,0,27
0.22596335922023394,OTS,pOTS,0,0,27
0.2219389966535206,PPA,pFus,0,0,27
0.24256437576887319,PPA,pOTS,0,0,27
0.8452268721103255,pFus,pOTS,1,0,27
0.5023044185924463,mFus,mOTS,1,0,28
0.887232961906077,mFus,OTS,1,0,28
0.11717673412221204,mFus,PPA,0,0,28
0.4402162408070847,mFus,pFus,0,1,28
0.21947955022132346,mFus,pOTS,0,0,28
0.6358122366809712,mOTS,OTS,1,0,28
0.04445954201152206,mOTS,PPA,0,0,28
0.2750336816109784,mOTS,pFus,0,0,28
0.17515332543447062,mOTS,pOTS,0,1,28
0.0617735424264855,OTS,PPA,0,0,28
0.3088958594636071,OTS,pFus,0,0,28
0.14873416443198528,OTS,pOTS,0,0,28
0.29795764273199404,PPA,pFus,0,0,28
0.2592828948471958,PPA,pOTS,0,0,28
0.8935912022472942,pFus,pOTS,1,0,28
0.5329757773438274,mFus,mOTS,1,0,29
0.8838816099254042,mFus,OTS,1,0,29
0.10054730300571593,mFus,PPA,0,0,29
0.5981252242289328,mFus,pFus,0,1,29
0.30365004996496703,mFus,pOTS,0,0,29
0.5398342938681191,mOTS,OTS,1,0,29
0.10019317044596322,mOTS,PPA,0,0,29
0.33475431546376866,mOTS,pFus,0,0,29
0.25640644595566603,mOTS,pOTS,0,1,29
0.06395419882650859,OTS,PPA,0,0,29
0.411216601274344,OTS,pFus,0,0,29
0.18093224011976572,OTS,pOTS,0,0,29
0.3011644125276767,PPA,pFus,0,0,29
0.29275108681620154,PPA,pOTS,0,0,29
0.8382837311555461,pFus,pOTS,1,0,29
0.7689830888300953,mFus,mOTS,1,0,30
0.8968939826508698,mFus,OTS,1,0,30
0.11095513072166215,mFus,PPA,0,0,30
0.5786084034182662,mFus,pFus,0,1,30
0.3786985412869095,mFus,pOTS,0,0,30
0.82650659231249,mOTS,OTS,1,0,30
0.08303162072558458,mOTS,PPA,0,0,30
0.35563189588328764,mOTS,pFus,0,0,30
0.20210101104751704,mOTS,pOTS,0,1,30
0.11217318714658205,OTS,PPA,0,0,30
0.3546326808191721,OTS,pFus,0,0,30
0.20112160731625797,OTS,pOTS,0,0,30
0.2533089896949729,PPA,pFus,0,0,30
0.219372565794303,PPA,pOTS,0,0,30
0.8687956095840693,pFus,pOTS,1,0,30
0.6644606385841588,mFus,mOTS,1,0,31
0.8901541754891353,mFus,OTS,1,0,31
0.13023648322968617,mFus,PPA,0,0,31
0.5964425558833041,mFus,pFus,0,1,31
0.38135986669270927,mFus,pOTS,0,0,31
0.8360215085702659,mOTS,OTS,1,0,31
0.0654643756660888,mOTS,PPA,0,0,31
0.29760200618165633,mOTS,pFus,0,0,31
0.19917601788394013,mOTS,pOTS,0,1,31
0.10145989085367839,OTS,PPA,0,0,31
0.3821627622159842,OTS,pFus,0,0,31
0.23413355497178534,OTS,pOTS,0,0,31
0.34668550844819285,PPA,pFus,0,0,31
0.34005872106706914,PPA,pOTS,0,0,31
0.8572108145382228,pFus,pOTS,1,0,31
0.57456798065137,mFus,mOTS,1,0,32
0.8636571456655185,mFus,OTS,1,0,32
0.1392611341737001,mFus,PPA,0,0,32
0.4010701756305173,mFus,pFus,0,1,32
0.19693486014712536,mFus,pOTS,0,0,32
0.7520313217405505,mOTS,OTS,1,0,32
0.06810182521075335,mOTS,PPA,0,0,32
0.2613398833329401,mOTS,pFus,0,0,32
0.1924479924126089,mOTS,pOTS,0,1,32
0.10446460532766863,OTS,PPA,0,0,32
0.4017408926673481,OTS,pFus,0,0,32
0.286741105535832,OTS,pOTS,0,0,32
0.36955853052910725,PPA,pFus,0,0,32
0.34158504333829226,PPA,pOTS,0,0,32
0.8947443959125716,pFus,pOTS,1,0,32
0.7829393213257908,mFus,mOTS,1,0,33
0.9161243846830311,mFus,OTS,1,0,33
0.05303362693717189,mFus,PPA,0,0,33
0.2802628733759283,mFus,pFus,0,1,33
0.22370876456207522,mFus,pOTS,0,0,33
0.8736167572466649,mOTS,OTS,1,0,33
0.05754389290477969,mOTS,PPA,0,0,33
0.2578473763074686,mOTS,pFus,0,0,33
0.22728286750100343,mOTS,pOTS,0,1,33
0.07314157846230793,OTS,PPA,0,0,33
0.18180172361777397,OTS,pFus,0,0,33
0.19007008284666083,OTS,pOTS,0,0,33
0.2633561122812993,PPA,pFus,0,0,33
